fid,資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,上下線,地点コード,市区町村コード,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,環状交差点の直径,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状（当事者A）,車両形状（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,地点　緯度（北緯）,地点　経度（東経）,曜日(発生年月日),祝日(発生年月日),日の出時刻　　時,日の出時刻　　分,日の入り時刻　　時,日の入り時刻　　分,車両形状等（当事者A）,車両形状等（当事者B）,オートマチック車（当事者A）,オートマチック車（当事者B）,サポカー（当事者A）,サポカー（当事者B）,認知機能検査経過日数（当事者A）,認知機能検査経過日数（当事者B）,運転練習の方法（当事者A）,運転練習の方法（当事者B）,year
2691,1,30,100,1,2,0,1,30010,0,0,101,2019,1,21,6,40,23,1,1,1,1,0,1,9,22,0,23,18,9,30,70,4,2,1,65,25,3,61,1,0,1,0,2,0,10,0,3,0,2,0,2,0,4,2,354106126,1394413935,2,3,,,,,,,,,,,,,,,2019
2696,1,30,101,1,2,0,1,10020,0,0,101,2018,12,25,12,45,12,1,1,1,1,0,1,9,22,0,23,17,9,30,70,1,2,1,65,55,3,61,1,0,1,0,5,0,10,0,4,0,2,0,2,0,4,2,354024383,1394542867,3,3,,,,,,,,,,,,,,,2019
2701,1,30,101,6,2,0,1,95000,0,0,101,2019,1,19,17,35,21,1,1,1,1,0,1,9,22,0,23,18,9,30,70,1,2,1,55,25,3,61,31,0,1,0,10,0,40,0,2,0,2,0,2,0,4,2,354054361,1394547890,7,3,,,,,,,,,,,,,,,2019
2704,1,30,101,9,2,0,1,30000,0,0,101,2019,1,21,15,0,12,1,1,1,14,0,7,0,23,0,23,3,9,1,70,5,2,1,1,45,3,61,31,0,1,0,10,0,40,0,4,0,2,0,2,0,4,2,354030427,1394550290,2,3,,,,,,,,,,,,,,,2019
2707,1,30,101,12,2,0,1,10110,0,0,101,2019,1,18,18,40,22,1,1,1,1,0,1,9,22,0,23,19,9,30,70,1,2,1,45,1,34,61,31,0,0,0,5,0,10,0,3,0,0,0,0,0,4,2,354121817,1394538114,6,3,,,,,,,,,,,,,,,2019
2717,1,30,102,8,2,0,1,30000,0,0,101,2019,1,9,13,20,12,1,1,1,7,0,7,0,23,0,23,3,9,1,70,5,2,1,35,65,59,61,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,2,354126848,1394556822,4,3,,,,,,,,,,,,,,,2019
2718,1,30,102,9,2,0,1,20090,0,0,101,2019,1,10,6,45,23,1,1,1,1,0,1,9,22,0,23,18,9,30,70,5,2,1,35,1,13,61,31,0,11,0,5,0,80,0,3,0,2,0,2,0,4,2,354121622,1394605701,5,3,,,,,,,,,,,,,,,2019
2725,1,30,102,16,2,0,1,30000,0,0,101,2019,1,31,9,20,12,2,1,1,1,0,7,9,22,0,23,11,9,30,70,5,2,1,65,45,13,61,31,0,11,0,5,0,26,0,3,0,2,0,2,0,4,2,354149465,1394533843,5,3,,,,,,,,,,,,,,,2019
2726,1,30,102,17,2,0,1,10100,0,0,101,2019,1,31,20,19,22,3,1,2,1,0,1,9,22,0,23,19,9,30,70,4,2,1,65,45,3,61,1,0,1,0,4,0,18,0,3,0,2,0,2,0,4,2,354130133,1394532117,5,3,,,,,,,,,,,,,,,2019
2728,1,30,103,2,2,0,1,20000,0,0,101,2019,1,10,6,17,23,1,1,1,1,0,7,9,22,0,23,15,9,30,70,5,2,1,45,25,3,61,31,0,1,0,4,0,50,0,3,0,2,0,2,0,4,2,354136387,1394621385,5,3,,,,,,,,,,,,,,,2019
